geo	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
GSM1561860	0.00812	0	0	0	0.07309	0	0	0	0	0.07435	0	0	0.24694	0.02045	0	0	0	0	0	0	0	0.57705
GSM1561861	0.00144	0.0333	0	0.07643	0.06247	0	0	0	0	0	0.04508	0	0.34884	0.07332	0	0	0	0	0	0	0	0.35912
GSM1561862	0.00054	0	0.01222	0	0	0	0	0	0	0.08149	0.07253	0	0.04653	0.10433	0	0	0	0	0	0	0	0.68235
GSM1561863	0	0	0.03436	0	0.0203	0	0	0	0	0.07554	0.04254	0	0.06852	0.00698	0	0.01696	0.01484	0	0.00234	0	0	0.71761
GSM1561864	0	0	0	0	0	0	0	0	0	0.08895	0.00021	0	0.15449	0.23819	0	0	0	0	0.01251	0	0	0.50565
GSM1561865	0.01301	0	0	0	0	0	0	0	0	0.09269	0.02197	0	0.15396	0.19016	0	0	0	0	0.01016	0	0	0.51806
GSM1561866	0.03164	0	0	0	0.18315	0	0	0	0	0.03805	0.03132	0	0.2239	0.0127	0	0	0	0	0	0	0	0.47925
GSM1561867	0	0	0	0	0.01209	0	0	0	0	0.09029	0	0	0.27119	0	0	0.0024	0	0.02582	0.00444	0	0	0.59377
GSM1561868	0.0315	0	0	0	0	0	0	0	0	0.03758	0.01542	0	0.13161	0.21201	0	0	0	0	0	0	0	0.57188
GSM1561869	0	0	0	0	0	0	0	0	0	0.05244	0.01375	0	0.17836	0.17097	0	0	0	0	0.00906	0	0	0.57542
GSM1561870	0.01948	0.00449	0.0041	0	0.02215	0	0	0	0	0	0.08338	0	0.11588	0	0.00516	0	0	0.06248	0.01947	0	0	0.66341
GSM1561871	0.01301	0	0	0.03189	0.00594	0	0	0	0	0.06504	0.04691	0	0.17944	0.1501	0	0	0	0	0	0	0	0.50767
GSM1561872	0	0	0	0	0	0	0	0	0	0.067	0	0	0.12736	0.08827	0.01625	0	0	0.01611	0.01382	0	0	0.6712
GSM1561873	0	0	0	0	0.02818	0	0.01332	0	0	0.0023	0.2015	0	0.22266	0	0	0	0	0.04304	0	0	0	0.48899
GSM1561874	0.00077	0	0	0	0	0	0	0	0	0.09639	0.02484	0	0.20974	0.07847	0	0	0	0	0	0	0	0.5898
