GSM	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
GSM1633778	0.00372	0	0	0	0	0	0	0	0	0.19371	0	0	0.09558	0	0	0	0	0.00128	0.00718	0	0	0.69853
GSM1633779	0.00166	0.00119	0.00286	0	0	0	0	0	0	0.10226	0	0	0.10858	0	0	0	0	0	0	0	0	0.78345
GSM1633780	0.04137	0.00889	0	0.08624	0	0	0	0	0	0.22336	0.00396	0	0.25976	0.013	0	0	0	0.01429	0.01427	0	0	0.33486
GSM1633781	0	0	0	0	0	0	0	0	0	0.1984	0.00574	0	0.18032	0	0	0	0	0	0.01069	0	0	0.60485
GSM1633782	0	0	0	0	0	0	0	0	0	0.08978	0	0	0.14246	0	0	0	0	0	0.00172	0	0	0.76604
GSM1633783	0	0	0.00737	0.00902	0.04361	0	0	0	0	0.13105	0	0	0.19939	0	0	0	0	0	0	0	0	0.60956
GSM1633784	0.00271	0	0	0	0	0	0	0	0	0.12204	0	0	0.13548	0	0	0	0	0	0.03826	0	0	0.70151
GSM1633785	0	0	0	0	0	0	0	0	0	0.29195	0	0	0.11609	0	0	0	0	0	0	0	0	0.59196
GSM1633786	0	0	0	0	0	0	0	0	0	0.14932	0	0	0.14933	0	0	0	0	0	0	0	0	0.70135
GSM1633787	0	0	0.00203	0.20629	0	0	0	0	0	0.27771	0	0	0.0495	0	0	0	0	0.01548	0	0	0	0.44899
GSM1633788	0	0	0	0	0	0	0	0	0	0.13709	0	0	0.13161	0	0	0	0	0	0	0	0	0.7313
GSM1633789	0	0	0	0	0	0	0	0	0	0.19799	0.0077	0	0.18892	0	0	0	0	0	0.02223	0	0	0.58317
GSM1633790	0	0	0	0	0	0	0	0	0	0.13436	0	0	0.14561	0	0	0	0	0	0.00377	0	0	0.71626
GSM1633791	0	0	0	0	0	0	0	0	0	0.11477	0.04686	0	0.33254	0.00268	0	0	0	0	0.04599	0	0	0.45716
GSM1633792	0	0	0.01694	0.04143	0	0	0	0	0	0.25398	0	0	0.10084	0	0.00077	0	0	0.01395	0	0	0	0.5721
GSM1633793	0	0	0	0	0	0	0	0	0	0.04312	0.01841	0	0.16099	0	0	0	0	0	0.00345	0	0	0.77404
GSM1633794	0	0	0	0	0	0	0	0	0	0.14829	0	0	0.08372	0	0	0	0	0	0.01138	0	0	0.75661
GSM1633795	0	0	3.00E-04	0	0	0	0	0	0	0.14147	0	0	0.01775	0	0.00966	0	0	0.03168	0.00164	0	0	0.7975
GSM1633796	0.01918	0	0	0.0218	0.03645	0	0	0	0	0.14134	0.01473	0	0	0	0	0.02284	0	0.00569	0	0	0	0.73798
GSM1633797	0	0.00077	0.01032	0.00525	0.04449	0	0	0	0	0.12565	0	0	0.17953	0	0	0	0	0.00028	0	0	0	0.63371
GSM1633798	0	0	0	0	0	0	0	0	0	0.08931	0	0	0.32774	0	0	0	0	0	0.01069	0	0	0.57227
GSM1633799	0	0	0	0.10922	0	0	0	0	0	0	0.12684	0	0.39236	0	0	0	0	0.02863	0.06191	0	0.01059	0.27045
GSM1633800	0	0	0.00118	0	0	0	0	0	0	0.13347	0	0	0.03419	0	0	0	0	0	0	0	0	0.83116
GSM1633801	0	0	0	0	0	0	0	0	0	0.10673	0	0	0.10423	0	0.0144	0	0	0.01126	0.02691	0	0	0.73646
GSM1633802	0	0	4.00E-05	0	0	0	0	0	0	0.11442	0	0	0.13601	0	0	0	0	0	0	0	0	0.74953
GSM1633803	0	0	0	0.04635	0	0	0	0	0	0.18941	0.09911	0	0.29608	0.06345	0	0	0	0	0.00277	0	0	0.30283
GSM1633804	0	0	0	0	0	0	0	0	0	0.08341	0	0	0.22676	0	0	0	0	0	0.0026	0	0	0.68724
GSM1633805	0	0	0	0	0	0	0	0	0	0.15937	0	0	0.24849	0	0	0	0	0	0.01328	0	0	0.57886
GSM1633806	0.043	0.03874	0.00282	0	0	0	0	0	0	0.11689	0	0	0.26273	0	0	0	0	0.03982	0.03011	0	0	0.4659
