GSM	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
GSM824707	0	0	0	0.0173	0	0	0.01942	0.36681	0	0	0	0	0	0	0.12075	0	0.00636	0.46935
GSM824708	0	0	0	0.01391	0	0	0.03673	0.40482	0	0	0	0	0	0.0453	0.08477	0	0.01185	0.40261
GSM824709	0	0	0	0.00376	0	0	0.06942	0.26548	0.0572	0	0	0	0	0.11805	0.02073	0	0.03888	0.42648
GSM824710	0	0	0	0.00732	0	0	0.0426	0.38185	0	0	0	0	0	0	0.11007	0	0.02879	0.42937
GSM824711	0	0	0	0	0	0	0.01937	0.43422	0	0	0	0	0	0.16635	0.0336	0	0.02425	0.3222
GSM824712	0	0	0	0.02912	0	0	0.02717	0.34107	0	0	0	0	0	0	0.07993	0	0	0.52271
GSM824713	0	0	0	0	0	0	0.03389	0.11754	0.17252	0	0	0	0	0.23695	0	0	0.05546	0.38364
GSM824714	0	0	0	0	0	0	0.00222	0.29625	0.04909	0	0.00835	0	0	0.02281	0	0.02072	0	0.60055
GSM824715	0.00144	0	0	0.0224	0	0	0.03989	0.26616	0	0	0.01336	0	0	0.08904	0	0	0	0.5677
GSM824716	0	0	0	0.00395	0	0	0.00364	0.46831	0	0	0	0	0	0.00761	0.09192	0.00821	0.02108	0.39529
GSM824717	0	0	0	0	0	0	0.07325	0.26779	0.02683	0	0	0	0	0.07931	0.05952	0	0.04044	0.45286
GSM824718	0	0	0	0.02089	0	0	0.01518	0.38338	0	0.01322	0	0	0	0	0.06561	0	0.02153	0.48019
GSM824719	0	0	0	0.00475	0	0	0.04166	0.36834	0	0	0	0	0	0.02915	0.094	0	0.05673	0.40537
GSM824720	0	0	0	0.00633	0	0	0.03489	0.39624	0.01716	0	0	0	0	0.02582	0.13737	0	0.0206	0.36159
GSM824721	0	0	0	0.02241	0	0	0.04274	0.39066	0	0	0.00866	0	0	0	0	0.00401	0	0.53152
GSM824722	0	0	0	0.01742	0	0	0.02555	0.50033	0	0	0	0	0	0	0.08501	0	0	0.37169
GSM824723	0	0	0	0.01879	0	0	0.07819	0.3666	0	0	0	0	0	0.06858	0.07838	0	0	0.38945
GSM824724	0	0	0	0.02412	0	0	0.03615	0.41173	0	0	0	0	0	0	0.00445	0	0.03434	0.48921
GSM824725	0	0	0	0.02009	0	0	0.01929	0.38687	0	0.00577	0	0	0	0	0.03408	0	0.00666	0.52724
GSM824726	0	0	0	0.01487	0	0	0.04804	0.39011	0	0	0	0	0	0.0965	0.06641	0	0.01131	0.37276
GSM824727	0.00221	0	0	0.01464	0	0	0.05801	0.3123	0	0	0	0	0	0.06523	0.06697	0	0.03109	0.44955
GSM824728	0	0	0.01148	0.01159	0	0	0.04376	0.32326	0	0	0.00351	0	0	0.0855	0.03918	0	0.06409	0.41762
GSM824729	0	0	0.00116	0	0	0	0.00578	0.43207	0	0.01472	0	0	0	0.04843	0.08948	0.02256	0.08561	0.3002
GSM824730	0.00035	0	0	0.00803	0	0	0.02065	0.38213	0	0	0	0	0	0.01725	0.12672	0	0.02104	0.42383
GSM824731	0	0	0	0.02448	0	0	0.0055	0.35288	0	0	0	0	0	0	0.20499	0	0.00727	0.40487
GSM824732	0	0	0	0.01409	0	0	0	0.41613	0	0	0	0	0	0.02614	0.06074	0.02422	0	0.45869
GSM824733	0	0	0	0.02196	0	0	0.02414	0.35545	0	0.03286	0	0	0	0	0.07418	0	0	0.49141
GSM824734	0	0	0.03525	0.02194	0	0	0.00131	0.29426	0	0.03795	0	0	0	0	0.16628	0	0.05961	0.3834
GSM824735	0	0	0	0	0	0	0.03133	0.41992	0.08621	0	0	0	0	0.06799	0.02995	0	0.03082	0.33378
GSM824736	0	0	0	0.00836	0	0	0.04896	0.33769	0	0	0	0	0	0.00316	0.09039	0	0.00397	0.50748
GSM824737	0	0	0	0	0	0	0.03381	0.5728	0	0	0	0	0	0.01713	0	0	0	0.37625
GSM824738	0	0	0	0.01175	0	0	0.00557	0.25293	0	0.03253	0	0	0	0	0.13543	0	0.01758	0.54421
GSM824739	0	0	0	0.01448	0	0	0.03713	0.47299	0	0	0	0	0	0.00682	0	0.00983	0	0.45874
GSM824740	0	0	0	0.00031	0	0	0.02169	0.19258	0.08412	0	0	0	0	0.1474	0.03175	0	0.06266	0.45948
GSM824741	0	0	0	0	0	0	0.00362	0.35961	0.10869	0	0	0	0	0.05869	0	0.08172	0	0.38767
GSM824742	0	0	0	0.01815	0	0	0.02115	0.36123	0	0.01429	0	0	0	0	0.12261	0	0	0.46256
