GSM	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
GSM824707	0.00455	0	0	0	0	0	0	0	0	0.07897	0.00869	0	0.144	0.14064	0	0	0	0	0	0	0	0.62316
GSM824708	0.02204	0	0.00064	0	0.05154	0	0	0	0	0.00264	0.02866	0	0.26009	0.05485	0	0	0	0	0	0	0	0.57953
GSM824709	0.03694	0	0.00904	0	0.0957	0	0	0	0	0.01368	0.0324	0	0.2516	0.00403	0	0	0	0	0	0	0	0.55661
GSM824710	0.01319	0	0	0	0	0	0	0	0	0.07023	0.03239	0	0.19589	0.17596	0	0	0	0	0	0	0	0.51233
GSM824711	0.02883	0.02713	0	0.02256	0.12991	0	0	0	0	0	0.04362	0	0.34908	0.06374	0	0	0	0	0	0	0	0.33514
GSM824712	0.01661	0	0	0	0	0	0	0	0	0.06112	0.02696	0	0.21225	0.16174	0	0	0	0	0.008	0	0	0.51333
GSM824713	0.01424	0.01204	0	0	0.17571	0	0	0	0.00756	0	0.06319	0	0.29488	0	0	0	0	0	0	0	0	0.43239
GSM824714	0.01949	0	0	0	0.04742	0	0	0	0.01081	0.03494	0	0	0.13922	0.09277	0	0	0	0	0	0	0	0.65535
GSM824715	0.12252	0	0	0	0.0232	0	0	0	0	0.02215	0	0	0.09389	0.17439	0.00696	0	0	0	0	0	0	0.5569
GSM824716	0.05975	0	0	0	0.0265	0	0	0	0	0.02198	0.05978	0	0.30006	0.08507	0	0	0	0	0	0	0	0.44687
GSM824717	0.06349	0	0.01253	0	0.04689	0	0	0	0	0.06763	0.01292	0	0.23535	0.01218	0	0	0	0.01638	0	0	0	0.53262
GSM824718	0.0023	0	2.00E-04	0	0	0	0	0	0	0.06088	0.00364	0	0.18758	0.23263	0	0	0	0	0.00242	0	0	0.51036
GSM824719	0	0	0	0	0.04429	0	0	0	0	0	0.12226	0	0.26622	0.06431	0	0	0	0	0	0	0	0.50292
GSM824720	0.02616	0	0.00649	0	0.06098	0	0	0	0	0.04158	0.0531	0	0.2638	0.09285	0	0	0	0	0	0	0	0.45505
GSM824721	0.00192	0	0	0	0	0	0	0	0	0.0671	0	0	0.10768	0.13813	0.01592	0	0	0.02047	0.00212	0	0	0.64667
GSM824722	0	0	0.00032	0	0.03278	0	0	0	0	0.05901	0.01479	0	0.19778	0.0901	0	0	0	0	0	0	0	0.60523
GSM824723	0.04524	0	0	0	0.04671	0	0	0	0	0.07473	0	0	0.14256	0.07321	0.00345	0	0	0.00028	0	0	0	0.61382
GSM824724	0.00245	0	0	0	0	0	0	0	0	0.06604	0.03767	0	0.0453	0.21911	0	0.01202	0	0	0	0	0	0.6174
GSM824725	0.00161	0	0	0	0	0	0	0	0	0.07064	0.02526	0	0.12949	0.16715	0	0	0	0	0	0	0	0.60584
GSM824726	0.00216	0.03298	0	0	0.12453	0	0	0	0.01078	0.01984	0.03227	0	0.24166	0	0.00062	0	0	0.00139	0	0	0	0.53378
GSM824727	0.02294	0	0	0	0.03292	0	0	0	0	0.02854	0.05696	0	0.3011	0.03976	0.00024	0	0	0.00527	0	0	0	0.51226
GSM824728	0.00676	0.03013	0.00189	0	0.05856	0	0	0	0	0.01218	0.08404	0	0.22771	0	0	0	0	0.02366	0	0	0	0.55507
GSM824729	0.0249	0.0078	0.00314	0	0.0681	0	0	0	0.02109	0	0.13698	0	0.30557	0.12579	0	0	0	0	0	0	0	0.30662
GSM824730	0.03475	0.00913	0.00144	0	0.03613	0	0	0	0	0.05987	0.04568	0	0.27222	0.11411	0	0	0	0	0	0	0	0.42668
GSM824731	0.00092	0	0.01193	0.08075	0	0	0	0	0.00621	0.055	0.04492	0	0.15828	0.18413	0	0.00172	0	0	0.00142	0.00152	0	0.45322
GSM824732	0	0	0.0019	0	0.07241	0	0	0	0	0.02205	0.05231	0	0.20806	0.03992	0	0	0	0	0	0	0	0.60335
GSM824733	0	0	0.002	0	0	0	0	0	0	0.04828	0.02557	0	0.06313	0.29728	0	0	0	0	0.02408	0	0.01607	0.52359
GSM824734	0	0	0	0	0	0	0	0	0	0.04052	0.1078	0	0.16258	0.31062	0	0.00754	0	0	0.02349	0	0	0.34744
GSM824735	0.01291	0	0	0	0.06197	0	0	0	0	0.01599	0.03842	0	0.42911	0	0	0	0	0	0	0	0	0.4416
GSM824736	0.02052	0	0.01331	0	0.0057	0	0	0	0.00106	0.05424	0.00712	0	0.1647	0.10575	0	0	0	0	0	0	0	0.6276
GSM824737	0.01387	0	0.01167	0	0.04147	0	0	0	0	0.01482	0.00916	0	0.39263	0	0	0	0	0	0	0	0	0.51638
GSM824738	0.01075	0	0	0	0	0	0	0	0	0.06197	0.02141	0	0.09587	0.27236	0	0	0	0	0	0	0	0.53764
GSM824739	0.01999	0	0.00818	0	0.03366	0	0	0	0.00526	0.02015	0.00738	0	0.19999	0.05889	0	0	0	0	0	0	0	0.6465
GSM824740	0.001	0.03563	0	0	0.08403	0	0	0	0.02483	0	0.08393	0	0.27394	0.01135	0	0	0	0	0	0	0	0.48529
GSM824741	0	0	0	0.04271	0.07359	0	0	0	0.00265	0	0.08234	0	0.3741	0.01021	0	0	0	0	0	0	0	0.4144
GSM824742	0.00537	0	0	0	0	0	0	0	0	0.05743	0.01879	0	0.14938	0.25032	0	0	0	0	0.01645	0	0.00247	0.4998
