ds	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
169833_DO011139837DR_5388500001_A	0	0	0.04644	0.0109	0	0	0.10569	0.15459	0	0.00894	0.04299	0	0	0	0.10414	0	0.12191	0.4044
169799_DO011139738DR_5388500001_B	0.00274	0	0.00814	0.01031	0	0	0.03638	0.25016	0	0.06751	0	0	0	0.05268	0.09827	0	0.10573	0.36808
169889_DO011142247DR_5388500001_C	0.001	0	0.00504	0.02387	0	0	0	0.26939	0	0.05841	0	0	0	0.0022	0.19795	0	0.07949	0.36266
170237_DO011145399DR_5388500001_D	0.00185	0	0.004	0.02052	0	0	0.02605	0.22948	0	0.0545	0	0	0	0	0.24177	0	0.07111	0.35073
169890_DO011142265DR_5388500001_E	0	0.06428	0.02111	0.03328	0	0.10611	0.01441	0.04464	0	0.02369	0	0	0	0.01789	0.28648	0	0.07524	0.31288
170242_DO01114547XDR_5388500001_F	0.00116	0	0.00929	0.01243	0	0	0.05134	0.24702	0	0.0464	0	0	0	0.01661	0.09064	0	0.09723	0.42789
169701_DO011133346DR_5388500001_G	0.00033	0	0.01214	0.00501	0	0	0.1069	0.22288	0	0.02639	0	0	0	0.04207	0.06004	0	0.14113	0.38311
169970_DO011140636DR_5388500001_H	0	0	0.04992	0.01685	0	0	0.02152	0.171	0	0	0	0	0	0	0.31835	0.03015	0.15116	0.24104
169726_DO011139133DR_5388500001_I	0.00122	0	0.01449	0.01707	0	0	0.09771	0.31875	0	0	0	0	0	0.00756	0.1416	0	0.07273	0.32886
169961_DO011140519DR_5388500001_J	0.00089	0	0.01575	0.00502	0	0	0.10803	0.23704	0	0.0137	0	0	0	0.0506	0.09685	0	0.10531	0.36681
169772_DO011139486DR_5388500001_K	0.00111	0	0.023	0.0171	0	0	0.10096	0.24135	0	0	0	0	0	0.03657	0.14782	0	0.08204	0.35005
128115_GC008233485DR_5388500001_L	0	0.06078	0.35265	0.12508	0.04656	0.02393	0.03453	0	0.02577	0.03502	0	0.01865	0.00062	0.01399	0.16983	0.00943	0.00815	0.07499
169835_DO011139873DR_5388500002_A	0.00392	0	0.00081	0.00168	0.00151	0	0.03529	0.13131	0	0.03411	0	0	0	0.18988	0.14763	0	0.1175	0.33637
169764_DO011139369DR_5388500002_B	0.00162	0	7.00E-04	0.00953	0.00251	0	0.02858	0.21015	0	0	0	0	0	0.19774	0.2666	0	0.06347	0.21912
169891_DO011142283DR_5388500002_C	0.00161	0	0.00336	7.00E-05	0	0	0.00378	0.2913	0	0.0453	0	0	0	0.03291	0.11373	0	0.11132	0.39662
170198_DO011145352DR_5388500002_D	0.00039	0	0.0098	0.00851	0	0	0.07463	0.18308	0	0.02501	0	0	0	0.12056	0.11893	0	0.10185	0.35725
170236_DO011145370DR_5388500002_E	0.00151	0	0.01008	0.01537	8.00E-05	1.00E-05	0.07606	0.22069	0	0.02464	0	0	0	0.08435	0.17587	0	0.09493	0.29639
170375_DO011140267DR_5388500002_F	0.00052	0	0.00556	0.01772	0	0	0.10961	0.22215	0	0.02243	0	0	0	0	0.15417	0	0.08647	0.38136
