ds	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
169833_DO011139837DR_5388500001_A	0.01026	0	0.01019	0	0	0	0	0	0	0.06081	0.10925	0	0.2382	0.15788	0	0	0	0	0.04811	0	0	0.36529
169799_DO011139738DR_5388500001_B	0.02477	0.01817	0.00487	0.08085	0	0	0	0	0	0.01253	0.06274	0	0.31747	0.11459	0	0	0	0	0.00858	0	0	0.35543
169889_DO011142247DR_5388500001_C	0.01691	0	0	0.04029	0	0	0	0	0	0	0.1104	0	0.33565	0.1556	0	0	0	0	0.04787	0	0	0.29328
170237_DO011145399DR_5388500001_D	0.00723	0	0	0.0674	0	0	0	0	0	0	0.1175	0	0.36935	0.1591	0	0	0	0	0.04797	0	0	0.23146
169890_DO011142265DR_5388500001_E	0	0	0.11998	0	0	0	0	0	0	0.24598	0	0	0.18338	0	0.01455	0.04211	0.12443	0.05947	0.14465	0	0.00866	0.05679
170242_DO01114547XDR_5388500001_F	0.02277	0	0	0.01754	0	0	0	0	0	0.0404	0.06338	0	0.33238	0.1492	0	0	0	0	0.00614	0	0	0.36818
169701_DO011133346DR_5388500001_G	0.00721	0.00282	0	0.09933	0	0	0	0	0	0.00323	0.0995	0	0.32874	0.06614	0	0	0	0	0	0	0	0.39303
169970_DO011140636DR_5388500001_H	0	0	0.01178	0.17966	0	0	0	0	0	0.01807	0.25541	0	0.26795	0.09817	0	0	0	0	0.02179	0	0	0.14717
169726_DO011139133DR_5388500001_I	0.01092	0.00917	0.00299	0.06117	0	0	0	0	0	0.04565	0.06372	0	0.38134	0.08687	0	0	0	0	0.0063	0	0	0.33187
169961_DO011140519DR_5388500001_J	0.00994	0	0	0.0801	0.00313	0	0	0	0	0.0747	0.04154	0	0.33865	0.06714	0	0	0	0	0	0	0	0.3848
169772_DO011139486DR_5388500001_K	0.04371	0	0.01633	0.09842	0.00389	0	0	0	0	0.01723	0.08413	0	0.29373	0.09314	0	0	0	0	0	0	0	0.34941
128115_GC008233485DR_5388500001_L	0.04561	0	0.36823	0.00092	0	0	0.00628	0.06991	0	0	0.05502	0	0.01427	0.06497	0.01803	0	0.05849	0.14161	0.04801	0	0.02944	0.07919
169835_DO011139873DR_5388500002_A	0.01887	0.01873	0.01108	0.21035	0.02915	0.03633	0	0	0.02379	0	0.06134	0	0.21764	0.04852	0.00024	0	0	0.00219	0	0	0	0.32177
169764_DO011139369DR_5388500002_B	0	0.05408	0.02805	0.20936	0	0.17997	0	0	0	0	0.08289	0	0.29806	0.00986	0.00138	0	0	0.01293	0	0	0	0.12342
169891_DO011142283DR_5388500002_C	0.00515	0	0	0	0	0	0	0	0	0.09235	0.0362	0	0.36263	0.1062	0	0	0	0	0.00074	0	0	0.39673
170198_DO011145352DR_5388500002_D	0.0145	0	0.04452	0.14357	0.02033	0.00503	0	0	0.02568	0.00837	0.06182	0	0.28404	0.04593	0	0	0	0.00562	0.0135	0	0	0.32708
170236_DO011145370DR_5388500002_E	0	0.03945	0.02031	0.16072	0	0	0	0	0	0	0.08997	0	0.31035	0.08468	0	0	0	0	0.03528	0	0.03107	0.22818
170375_DO011140267DR_5388500002_F	0.00528	0	0.01575	0.05414	0	0	0	0	0	0	0.12128	0	0.22979	0.15253	0	0	0	0	0.05077	0	0	0.37046
169722_DO011139052DR_5388500002_G	0.03808	0.00989	0	0.02829	0.00303	0	0	0	0	0.01675	0.10138	0	0.22661	0.07645	0	0	0	0	0	0	0	0.49952
169972_DO011140672DR_5388500002_H	0.02468	0	0	0	0.01475	0	0	0	0	0.05727	0.08386	0	0.27702	0.14303	0	0	0	0	0	0	0	0.3994
169692_DO011133166DR_5388500002_I	0.02211	0	0	0.00461	0.00499	0	0	0	0	0.05048	0.0618	0	0.33545	0.05066	0	0	0	0	0	0	0	0.4699
169959_DO011140492DR_5388500002_J	7.00E-05	0	0	0.01705	0	0	0	0	0	0.09661	0.08407	0	0.32876	0.15833	0	0	0	0	0.008	0	0	0.30711
169768_DO011139421DR_5388500002_K	0	0	0.40729	0	0	0	0	0.08409	0	0.09612	0	0	0.03349	0.02205	0.06039	0	0.01624	0	0.13957	0	0	0.14076
128115_GC008233485DR_5388500002_L	0.04653	0	0.35287	0	0	0	0.01142	0.07421	0	0	0.04991	0	0.03579	0.07053	0.01823	0	0.05526	0.12788	0.04961	0	0.03343	0.07433
169892_DO01114230XDR_5388500003_A	0.01602	0	0	0.06757	0	0	0	0	0	0.05311	0.13723	0	0.34457	0.09755	0	0	0	0	6.00E-04	0	0	0.28335
170192_DO011143345DR_5388500003_B	0	0	0.01687	0.16749	0	0	0	0	0	0	0.16277	0	0.25745	0.16253	0	0	0	0	0.03678	0	0	0.19612
169770_DO01113944XDR_5388500003_C	0	0	0.05892	0	0	0	0	0.19558	0	0	0.02246	0	0.33924	0	0	0.20114	0	0	0.09458	0	0	0.08807
169765_DO011139387DR_5388500003_D	0	0.00526	0.00018	0.043	0	0	0	0	0	0.01673	0.1432	0	0.35993	0.08048	0	0	0	0	0.03239	0	0.00305	0.31578
170378_DO01114032XDR_5388500003_E	0.01797	0	0	0	0	0	0	0	0	0.10701	0.04304	0	0.27983	0.11534	0	0	0	0	0.00518	0	0	0.43163
170241_DO011145451DR_5388500003_F	0	0.00984	0	0.21274	0	0	0	0	0	0.01223	0.09548	0	0.30197	0.046	0	0	0	0	0.02295	0	0.03946	0.25933
169720_DO011139016DR_5388500003_G	0.05576	0	0	0.04827	0	0	0	0	0.00155	0.05298	0.09549	0	0.33627	0.14609	0	0	0	0	0	0	0	0.26359
169969_DO011140618DR_5388500003_H	0.03289	0	0	0	0	0	0	0	0	0.11606	0	0	0.26281	0.1541	0	0	0	0	0	0	0	0.43414
